Weight,Record,Type,Gender
45,85,S,Women
45,108,CJ,Women
45,191,T,Women
49,96,S,Women
49,119,CJ,Women
49,213,T,Women
55,102,S,Women
55,129,CJ,Women
55,227,T,Women
59,110,S,Women
59,140,CJ,Women
59,247,T,Women
64,117,S,Women
64,145,CJ,Women
64,261,T,Women
71,117,S,Women
71,152,CJ,Women
71,267,T,Women
76,124,S,Women
76,156,CJ,Women
76,278,T,Women
81,127,S,Women
81,158,CJ,Women
81,283,T,Women
87,132,S,Women
87,164,CJ,Women
87,294,T,Women
150,148,S,Women
150,187,CJ,Women
150,335,T,Women
